Mahavishnu,,SALES,,,,,,,,,,AMOUNT,RATES,,,,
,,750 ML,,375 ML,,180 ML,,90 ML,,60 ML,,,750 ML,375 ML,180 ML,90 ML,60 ML
SL.,PRODUCT NAME,CASES*12,BTLS,CASES*24,BTLS,CASES*48,BTLS,CASES*96,BTLS,BOX*25,BTLS,,RATE,RATE,RATE,RATE,RATE
1,M H BRANDY,0,2,1,-13,4,-6,1,-3,0,0,73350,1100,550,275,150,140
2,MC BRANDY,0,3,0,4,6,43,2,-9,0,0,97425,860,430,215,120,90
3,O.C.BRANDY,0,0,0,0,3,34,2,-22,0,0,28930,400,200,110,55,
4,AMRUT SILVER CUP,0,0,0,0,0,20,2,-23,0,0,10650,400,200,110,50,
5,HONEY BEE BRANDY,0,0,0,0,0,12,0,12,0,0,3240,720,360,180,90,
6,O A BRANDY,0,0,0,0,2,2,1,-42,0,0,19780,700,350,155,85,
7,BEJOIS BRANDY,0,0,0,0,3,3,1,-2,0,0,30775,700,350,155,85,
8,MORPHIS BRANDY,0,0,0,0,0,9,0,0,0,14,6290,1800,900,450,225,160
9,M C WHISKY,0,1,0,2,1,30,0,54,0,0,31210,1100,550,275,140,
10,BAGPIPER (W),0,0,0,2,7,-23,2,34,0,0,68425,700,350,155,85,
11,SIGNATURE (W),0,0,0,0,0,0,0,0,0,0,0,2000,1000,500,250,200
12,O T WHISKY,0,0,0,0,0,6,0,9,0,0,1695,520,260,155,85,
13,DSP BLACK(W),0,1,0,4,2,31,1,-36,0,0,37085,860,430,215,120,
14,O C WHISKY,0,0,0,0,4,-12,2,14,0,0,31130,400,200,110,55,
15,R C WHISKY,0,0,0,0,0,0,0,0,0,0,0,1800,900,340,195,
16,BLENDERS PRIDE,0,0,0,0,0,4,0,0,0,11,3910,2000,1000,510,240,170
17,AFTER DARK,0,0,0,0,0,0,0,0,0,0,0,1080,540,270,150,
18,B'LORE MALT (W),0,0,0,0,0,2,1,-71,0,0,1450,340,170,100,50,
19,0,0,0,0,0,0,0,0,0,0,0,0,480,240,120,75,
20,ROYAL STAGE,0,1,0,4,1,-34,0,-2,0,0,8740,1400,700,350,180,120
21,HAYWARDS(W),0,0,0,0,1,-26,1,-20,0,0,7200,400,200,120,60,
22,CNB RED,0,0,0,0,0,1,0,0,0,0,220,880,440,220,120,
23,8.PM (W),0,0,0,0,1,-17,1,-73,0,0,6760,600,300,155,85,
24,IMPERIAL BLUE(W),0,2,0,9,2,3,1,-34,0,0,43675,1100,550,275,150,
